Ref	x	y	Connectivity	Point First Moment	Point Second Moment	Visual Integration [HH]	conn	integ
2097234	-319.3452381	417.0736842	88	3389.8113	190160	2.4720454	2	0.99846399
2097235	-319.3452381	424.5684211	233	25596.768	4164800	3.090755	2	0.99846399
2097236	-319.3452381	432.0631579	228	24118.033	3732320	3.0885739	2	0.99846399
2162712	-311.9047619	-17.62105263	237	18995.172	2006368	2.2540736	3	0.928572
2162713	-311.9047619	-10.12631579	236	18793.186	1974160	2.2538414	3	0.928572
2162714	-311.9047619	-2.631578947	234	18757.672	1970656	2.2533772	3	0.928572
2162723	-311.9047619	64.82105263	101	4879.7207	343792	2.0916216	2	0.94752198
2162724	-311.9047619	72.31578947	102	4753.1201	321680	2.0918217	2	0.94752198
2162725	-311.9047619	79.81052632	101	4587.7393	299872	2.0916216	2	0.94752198
2162726	-311.9047619	87.30526316	102	4597.4473	292496	2.0918217	2	0.94752198
2162770	-311.9047619	417.0736842	77	2606.7673	125456	2.4686987	2	0.99846399
2162771	-311.9047619	424.5684211	222	24259.807	3933264	3.0859604	2	0.99846399
2162772	-311.9047619	432.0631579	226	23382.631	3553872	3.0877023	2	0.99846399
2228247	-304.4642857	-25.11578947	237	19095.834	2033824	2.2540736	3	0.928572
2228248	-304.4642857	-17.62105263	236	18981.836	2016144	2.2538414	3	0.928572
2228249	-304.4642857	-10.12631579	234	18786.928	1983936	2.2533772	3	0.928572
2228260	-304.4642857	72.31578947	101	4642.1919	305424	2.0916216	2	0.94752198
2228261	-304.4642857	79.81052632	101	4490.5947	284880	2.0916216	2	0.94752198
2228262	-304.4642857	87.30526316	101	4382.9214	268064	2.0916216	2	0.94752198
2228263	-304.4642857	94.8	102	4403.2983	262864	2.0918217	2	0.94752198
2228306	-304.4642857	417.0736842	61	1737.5565	69776	2.4642506	2	0.99846399
2228307	-304.4642857	424.5684211	218	23611.1	3795968	3.0842206	2	0.99846399
2228308	-304.4642857	432.0631579	219	22316.498	3356640	3.0846555	2	0.99846399
2293782	-297.0238095	-32.61052632	237	19242.125	2076512	2.2540736	3	0.928572
2293783	-297.0238095	-25.11578947	236	19091.018	2050832	2.2538414	3	0.928572
2293784	-297.0238095	-17.62105263	234	18863.037	2012256	2.2533772	3	0.928572
2293785	-297.0238095	-10.12631579	231	18516.658	1956576	2.2526813	3	0.928572
2293797	-297.0238095	79.81052632	100	4357.9639	265264	2.0914218	2	0.94752198
2293798	-297.0238095	87.30526316	101	4314.8135	256304	2.0916216	2	0.94752198
2293799	-297.0238095	94.8	100	4166.2329	239696	2.0914218	2	0.94752198
2293800	-297.0238095	102.2947368	102	4250.1353	239824	2.0918217	2	0.94752198
2293801	-297.0238095	109.7894737	104	4411.6455	249376	2.0930221	2	0.94752198
2293843	-297.0238095	424.5684211	215	22881.027	3618208	3.0829172	5	0.99846399
2293844	-297.0238095	432.0631579	213	21548.027	3234608	3.0820487	5	0.99846399
2359317	-289.5833333	-40.10526316	237	19436.148	2134432	2.2540736	3	0.928572
2359318	-289.5833333	-32.61052632	236	19247.656	2100688	2.2538414	3	0.928572
2359319	-289.5833333	-25.11578947	234	18987.721	2055616	2.2533772	3	0.928572
2359320	-289.5833333	-17.62105263	234	18976.793	2038704	2.2533772	3	0.928572
2359335	-289.5833333	94.8	101	4181.6528	234256	2.0916216	2	0.94752198
2359336	-289.5833333	102.2947368	100	4040.9019	220304	2.0914218	2	0.94752198
2359337	-289.5833333	109.7894737	102	4139.4883	223376	2.0918217	2	0.94752198
2359338	-289.5833333	117.2842105	104	4307.1128	234176	2.0930221	2	0.94752198
2359379	-289.5833333	424.5684211	209	21980.674	3435488	3.0803132	5	0.99846399
2359380	-289.5833333	432.0631579	211	20907.158	3079904	3.0811808	5	0.99846399
2424852	-282.1428571	-47.6	237	19680.676	2207584	2.2540736	3	0.928572
2424853	-282.1428571	-40.10526316	236	19453.186	2165712	2.2538414	3	0.928572
2424854	-282.1428571	-32.61052632	235	19292.418	2131456	2.2536092	3	0.928572
2424855	-282.1428571	-25.11578947	234	19117.916	2089584	2.2533772	3	0.928572
2424872	-282.1428571	102.2947368	101	4089.6382	218736	2.0916216	2	0.94752198
