Ref	x	y	Connectivity	Point First Moment	Point Second Moment	Visual Integration [HH]	conn	integ
7864395	388	180	103	4006.7317	212304	3.1176159	6	1.6883121
7864396	388	184	102	3941.802	208416	3.1171718	6	1.6883121
7864397	388	188	98	3681.0588	188000	2.9667225	6	1.6883121
7864398	388	192	98	3746.5527	197392	2.9667225	6	1.6883121
7864409	388	236	218	21409.963	3060336	3.1440439	5	1.3655469
7864410	388	240	204	17294.793	2116208	3.1381824	5	1.3655469
7864411	388	244	191	14333.925	1530432	3.0768485	5	1.3655469
7929870	392	-64	84	2521.4951	101312	2.1915419	3	0.99846399
7929871	392	-60	122	5504.8535	373952	2.5000052	3	0.99846399
7929872	392	-56	142	7928.6602	613344	2.5020061	3	0.99846399
7929882	392	-16	73	2201.5693	87424	2.4589894	4	1.254827
7929883	392	-12	90	2885.5491	118688	2.5948708	4	1.254827
7929903	392	68	111	4812.7905	285216	2.9491301	7	1.785715
7929904	392	72	107	4792.1938	289136	2.9475412	7	1.785715
7929909	392	92	139	9404.9834	925104	3.1562881	6	1.6883121
7929910	392	96	140	9049.6924	860144	3.1567435	6	1.6883121
7929911	392	100	141	8706.791	798864	3.1526504	6	1.6883121
7929912	392	104	161	9220.7773	781504	3.1815274	6	1.6883121
7929913	392	108	211	10547.083	790656	3.2189682	6	1.6883121
7929914	392	112	225	11195.686	808016	3.2251358	9	1.820729
7929915	392	116	208	10483.857	764016	3.2170753	9	1.6883121
7929916	392	120	206	10808.804	805360	3.2915983	6	1.6883121
7929917	392	124	150	7605.4312	542960	3.1594782	6	1.6883121
7929918	392	128	136	7014.5664	496816	3.1499274	6	1.6883121
7929919	392	132	126	6319.7651	428528	3.1435924	6	1.6883121
7929920	392	136	109	5095.605	326400	3.1336884	6	1.6883121
7929923	392	148	101	3931.4377	226528	2.7038856	3	1.4285721
7929924	392	152	89	2754.2141	133104	2.6998823	3	1.4285721
7929925	392	156	55	980.55365	23200	2.3808668	3	1.4285721
7929946	392	240	204	18023.803	2291648	3.1377325	5	1.3655469
7929947	392	244	193	15415.072	1742176	3.1390827	5	1.3655469
7995406	396	-64	80	2345.7732	93136	2.4160922	3	1.043339
7995407	396	-60	147	6285.0879	393568	2.6514657	3	1.043339
7995408	396	-56	173	8581.084	608992	2.6556487	3	1.043339
7995409	396	-52	123	6059.9321	444880	2.4653611	4	1.043339
7995410	396	-48	45	798.32672	18208	2.2577946	4	1.043339
7995411	396	-44	41	657.12714	13232	2.2568631	4	1.043339
7995412	396	-40	40	613.31335	11456	2.2566304	4	1.043339
7995413	396	-36	39	592.6991	10960	2.2563977	4	1.043339
7995414	396	-32	39	615.57111	12144	2.2563977	4	1.043339
7995415	396	-28	40	681.6897	15008	2.2584937	4	1.043339
7995416	396	-24	41	742.2215	17760	2.2596598	4	1.043339
7995417	396	-20	54	1114.6306	30144	2.4779239	4	1.043339
7995418	396	-16	101	3068.7849	121040	2.6712091	4	1.254827
7995419	396	-12	113	3876.6277	168368	2.6751277	4	1.254827
7995438	396	64	67	1729.4849	58768	2.749409	7	1.785715
7995439	396	68	129	5192.916	287728	2.9723642	7	1.785715
7995440	396	72	130	5254.3896	294080	2.9727681	7	1.6883121
7995441	396	76	189	13629.456	1382768	3.458051	6	1.6883121
7995442	396	80	165	11533.029	1164640	3.4449852	6	1.6883121
7995443	396	84	135	9244.4238	942624	3.1571989	6	1.6883121
7995444	396	88	132	8623.9082	847680	3.1512883	6	1.6883121
7995445	396	92	129	8107.3701	768992	3.1453998	6	1.6883121
7995446	396	96	126	7463.8193	677168	3.1435924	6	1.6883121
7995447	396	100	125	7096.3896	617488	3.1431408	6	1.6883121
7995448	396	104	128	6552.9219	524016	3.1544683	6	1.6883121
7995449	396	108	181	7991.041	525568	3.2020113	6	1.6883121
7995450	396	112	203	8859.0342	547792	3.2123525	9	1.820729
7995451	396	116	153	5272.7842	243888	2.7865205	9	1.820729
7995452	396	120	115	4586.7261	258016	2.7487183	6	1.820729
7995459	396	148	52	985.40887	24032	2.3720918	3	1.4285721
7995460	396	152	48	799.14453	17472	2.3713205	3	1.4285721
7995461	396	156	36	501.97012	8224	2.3421328	3	1.4285721
7995482	396	240	205	18677.762	2460464	3.1381824	5	1.3655469
7995483	396	244	198	16536.373	1964832	3.141336	5	1.3655469
8060943	400	-60	144	6345.4673	419904	2.6505022	3	1.043339
8060944	400	-56	174	8431.2939	580000	2.6559711	4	1.043339
8060945	400	-52	167	7782.0659	516208	2.6537163	4	1.043339
8060946	400	-48	56	1207.8883	38464	2.2664471	4	1.043339
8060947	400	-44	42	657.70709	13296	2.2570961	4	1.043339
8060948	400	-40	40	592.55945	11056	2.2566304	4	1.043339
8060949	400	-36	39	566.96924	10320	2.2563977	4	1.043339
8060950	400	-32	39	582.92615	11120	2.2563977	4	1.043339
8060951	400	-28	39	622.65729	13200	2.2563977	4	1.043339
8060952	400	-24	42	728.62109	17184	2.25896	4	1.043339
8060953	400	-20	61	1271.708	34432	2.4804518	4	1.043339
8060954	400	-16	104	3257.0754	134480	2.6721878	4	1.254827
8060955	400	-12	122	4421.6563	204944	2.6780744	4	1.254827
8060974	400	64	209	14073.804	1403504	3.4833724	7	1.785715
8060975	400	68	211	13532.308	1284704	3.4844818	7	1.785715
8060976	400	72	208	12781.012	1152704	3.4817097	6	1.6883121
8060977	400	76	171	10824.384	995376	3.4449852	6	1.6883121
8060978	400	80	119	7394.5703	713360	3.1490209	6	1.6883121
8060979	400	84	113	6727.8013	625456	3.1417868	6	1.6883121
8060980	400	88	105	5652.8872	477792	3.1242926	6	1.6883121
8060981	400	92	93	4135.3018	288640	2.7404566	6	1.6883121
8060982	400	96	83	3064.457	172048	2.7366865	6	1.6883121
8060983	400	100	73	2154.1724	87408	2.7329268	6	1.6883121
8060986	400	112	101	3130.2556	130800	2.6228631	9	1.820729
8060987	400	116	106	3625.1194	177104	2.6323283	9	1.820729
8060988	400	120	87	3333.1675	189952	2.6072376	6	1.820729
8060994	400	144	50	999.05243	24768	2.3715775	3	1.4285721
8060995	400	148	46	783.41351	17072	2.3705499	3	1.4285721
8060996	400	152	43	682.03015	13744	2.3700364	3	1.4285721
8061018	400	240	206	19178.006	2601360	3.1386325	5	1.3655469
8061019	400	244	199	17098.352	2104528	3.1417868	5	1.3655469
8061020	400	248	173	12589.116	1289968	3.06779	5	1.3655469
8126479	404	-60	124	5277.4956	358128	2.4692559	4	1.067324
8126480	404	-56	168	8003.4438	541456	2.6540382	4	1.067324
8126481	404	-52	166	7633.5557	495456	2.6533947	4	1.043339
8126482	404	-48	84	2992.2783	152384	2.4158254	4	1.043339
8126483	404	-44	55	1376.8575	51552	2.2648051	4	1.043339
8126484	404	-40	41	671.43311	13936	2.2554674	4	1.043339
8126485	404	-36	40	644.78107	13040	2.255235	4	1.043339
8126486	404	-32	38	610.01489	12400	2.2547703	4	1.043339
8126487	404	-28	40	701.25085	15808	2.255235	4	1.043339
8126488	404	-24	41	794.8161	20016	2.2554674	4	1.043339
8126490	404	-16	97	3208.0085	141600	2.6699054	4	1.254827
8126491	404	-12	119	4598.4482	230176	2.6770916	4	1.254827
8126510	404	64	194	11364.07	968192	3.462976	7	1.785715
8126511	404	68	189	10261.42	794528	3.0112214	7	1.785715
8126512	404	72	183	9310.5078	659712	3.0074966	7	1.6883121
8126513	404	76	97	4377.6069	313248	2.7487183	6	1.6883121
8126514	404	80	80	3273.8225	206128	2.7356601	6	1.6883121
8126515	404	84	73	2532.7607	131216	2.7329268	6	1.6883121
8126522	404	112	87	2755.9333	117232	2.6228631	9	1.820729
8126523	404	116	104	3749.7236	186928	2.6386766	9	1.820729
8126524	404	120	98	3669.6479	199952	2.6282184	9	1.820729
8126530	404	144	47	871.80591	20016	2.3708067	3	1.4285721
8126531	404	148	47	797.06946	17008	2.3708067	3	1.4285721
8126532	404	152	43	682.28436	13296	2.3700364	3	1.4285721
